farmer_id,aadhar_no,phone_no,village,land_size_acres,kharif_crop,rabi_crop,irrigation_type,soil_type,last_subsidy_date,farm_category
FAR001601,9884433290760,9884664609,Skanda Giri,16.38,Jowar,Wheat,Drip,Alluvial,2024-04-17,SC/ST (Large (>12.35 acre
FAR001602,1099455317299,9783763097,Anjaneya Layout,0.63,Paddy,Wheat,Rainfed,Clay,2024-04-17,Marginal (<2.47 acres)
FAR001603,4442930655465,9927532694,Maruthi Extension,3.17,Paddy,Wheat,Rainfed,Loamy,2024-04-17,Small (2.47-4.94 acres)
FAR001604,9619304587594,9869437045,Balaji Nagar,2.05,Paddy,Wheat,Borewell,Alluvial,2024-04-17,Marginal (<2.47 acres)
FAR001605,1255583378625,9941384200,Hanumantha Nagar,1.69,Paddy,Wheat,Drip,Alluvial,2024-04-17,SC/ST (Marginal (<2.47 ac
FAR001606,1720781134032,9567903316,Yelachaguppe,13.35,Paddy,Wheat,Rainfed,Loamy,2024-04-17,Large (>12.35 acres)
FAR001607,4007821041038,9250887721,Ganesha Nagar,2.22,Jowar,Wheat,Sprinkler,Clay,2024-04-17,Marginal (<2.47 acres)
FAR001608,8946848474774,9889923555,Devi Krupa,1.5,Jowar,Wheat,Flood,Black (Regur),2024-04-17,Marginal (<2.47 acres)
FAR001609,7190628527474,9417087298,Uttara Phalguni,61.62,Paddy,Wheat,Borewell,Sandy Loam,2024-04-17,Large (>12.35 acres)
FAR001610,6112558704579,9961630486,Yelachaguppe,4.64,Paddy,Oats,Borewell,Loamy,2024-04-17,Small (2.47-4.94 acres)
FAR001611,5901461023617,9496420511,Maruthi Extension,0.76,Paddy,Wheat,Borewell,Red,2024-04-17,Marginal (<2.47 acres)
FAR001612,2580309030298,9448764694,Subramanya Swamy,3.02,Paddy,Wheat,Rainfed,Sandy Loam,2024-04-17,SC/ST (Small (2.47-4.94 a
FAR001613,5590438642748,9501014031,Devi Krupa,2.16,Jowar,Oats,Rainfed,Alluvial,2024-04-18,SC/ST (Marginal (<2.47 ac
FAR001614,1081920448196,9567515460,GreenVillage,49.81,Jowar,Wheat,Sprinkler,Sandy Loam,2024-04-18,SC/ST (Large (>12.35 acre
FAR001615,3716840252696,9145572108,GreenVillage,3.48,Jowar,Wheat,Borewell,Loamy,2024-04-18,Small (2.47-4.94 acres)
FAR001616,8501293991861,9992321033,Sundarapuram,2.42,Jowar,Wheat,Borewell,Alluvial,2024-04-18,Marginal (<2.47 acres)
FAR001617,2455505693613,9597178359,Anjaneya Layout,50.99,Jowar,Oats,Borewell,Clay,2024-04-18,SC/ST (Large (>12.35 acre
FAR001618,7952749525221,9256565050,Dakshina Mukhi,31.8,Paddy,Wheat,Rainfed,Red,2024-04-18,Large (>12.35 acres)
FAR001619,4112795703996,9111958529,GreenVillage,1.74,Jowar,Wheat,Rainfed,Sandy Loam,2024-04-18,Marginal (<2.47 acres)
FAR001620,8562941506731,9107719631,Pushpagiri,37.28,Paddy,Oats,Sprinkler,Alluvial,2024-04-18,Large (>12.35 acres)
FAR001621,9752152630789,9205415603,GreenVillage,1.2,Jowar,Oats,Borewell,Loamy,2024-04-18,Marginal (<2.47 acres)
FAR001622,3104984590597,9532672453,Pushpagiri,32.38,Jowar,Wheat,Rainfed,Clay,2024-04-18,Large (>12.35 acres)
FAR001623,8726349800254,9448874549,GreenVillage,0.69,Paddy,Wheat,Rainfed,Clay,2024-04-18,SC/ST (Marginal (<2.47 ac
FAR001624,1944877084821,9592792928,Subramanya Swamy,49.48,Jowar,Wheat,Rainfed,Alluvial,2024-04-18,Large (>12.35 acres)
FAR001625,9770665060498,9710513947,Gokul Vihar,59.61,Paddy,Wheat,Rainfed,Black (Regur),2024-04-18,SC/ST (Large (>12.35 acre
FAR001626,9353691256872,9633002884,Maruthi Extension,1.0,Jowar,Wheat,Rainfed,Clay,2024-04-18,Marginal (<2.47 acres)
FAR001627,6736743433222,9564533323,GreenVillage,1.33,Paddy,Oats,Rainfed,Clay,2024-04-18,SC/ST (Marginal (<2.47 ac
FAR001628,1056134232847,9698733213,Nandi Hills,0.8,Paddy,Wheat,Rainfed,Alluvial,2024-04-19,SC/ST (Marginal (<2.47 ac
FAR001629,8226391202213,9316547280,Hanumantha Nagar,2.05,Paddy,Oats,Borewell,Loamy,2024-04-19,SC/ST (Marginal (<2.47 ac
FAR001630,5044555082529,9719759378,Maruthi Extension,4.59,Paddy,Wheat,Rainfed,Clay,2024-04-19,Small (2.47-4.94 acres)
FAR001631,3980459699242,9178961705,Keshavpur,46.47,Paddy,Wheat,Drip,Alluvial,2024-04-19,Large (>12.35 acres)
FAR001632,7395882645413,9983870360,Rampur Village,37.09,Paddy,Wheat,Sprinkler,Clay,2024-04-19,SC/ST (Large (>12.35 acre
FAR001633,6498730173683,9437992994,Gokul Vihar,27.77,Paddy,Wheat,Rainfed,Clay,2024-04-19,Large (>12.35 acres)
FAR001634,4388294694275,9203493128,Venkatesh Pura,59.42,Paddy,Wheat,Drip,Alluvial,2024-04-19,Large (>12.35 acres)
FAR001635,2412222497605,9198114271,Dakshina Mukhi,1.72,Jowar,Wheat,Rainfed,Alluvial,2024-04-19,SC/ST (Marginal (<2.47 ac
FAR001636,1571663758796,9522767654,Subramanya Swamy,27.81,Paddy,Oats,Rainfed,Sandy Loam,2024-04-19,SC/ST (Large (>12.35 acre
FAR001637,4927532095579,9780333751,Subramanya Swamy,4.21,Paddy,Wheat,Drip,Sandy Loam,2024-04-19,Small (2.47-4.94 acres)
FAR001638,1844240266089,9428027173,Pushpagiri,55.5,Paddy,Wheat,Flood,Loamy,2024-04-19,Large (>12.35 acres)
FAR001639,5592740152247,9187406350,Nandi Hills,0.37,Paddy,Wheat,Borewell,Alluvial,2024-04-19,Marginal (<2.47 acres)
FAR001640,6969469612730,9921579884,Hanumantha Nagar,31.3,Jowar,Wheat,Rainfed,Alluvial,2024-04-19,Large (>12.35 acres)
FAR001641,4590792857283,9339232420,Subramanya Swamy,2.11,Paddy,Wheat,Rainfed,Clay,2024-04-19,Marginal (<2.47 acres)
FAR001642,9734501124180,9198523481,Sundarapuram,4.25,Paddy,Oats,Rainfed,Clay,2024-04-19,Small (2.47-4.94 acres)
FAR001643,2369347078772,9286597756,Rampur Village,53.3,Paddy,Wheat,Drip,Red,2024-04-20,SC/ST (Large (>12.35 acre
FAR001644,4059679891325,9990349047,Shivaji Colony,53.81,Paddy,Wheat,Rainfed,Clay,2024-04-20,Large (>12.35 acres)
FAR001645,1050429684386,9546477883,Uttara Phalguni,55.8,Paddy,Oats,Borewell,Sandy Loam,2024-04-20,SC/ST (Large (>12.35 acre
FAR001646,2725718150962,9406220541,Maruthi Extension,3.48,Paddy,Wheat,Drip,Clay,2024-04-20,Small (2.47-4.94 acres)
FAR001647,5566479315575,9101709598,Balaji Nagar,4.84,Paddy,Wheat,Rainfed,Alluvial,2024-04-20,SC/ST (Small (2.47-4.94 a
FAR001648,8857900631453,9230042909,Dakshina Mukhi,24.65,Paddy,Wheat,Drip,Loamy,2024-04-20,Large (>12.35 acres)
FAR001649,8826550115039,9666349377,Nandi Hills,4.39,Jowar,Oats,Drip,Sandy Loam,2024-04-20,Small (2.47-4.94 acres)
FAR001650,2329425274874,9308104198,Ganesha Nagar,0.56,Jowar,Wheat,Sprinkler,Black (Regur),2024-04-20,Marginal (<2.47 acres)
FAR001651,3898265919875,9217377181,Skanda Giri,1.46,Paddy,Wheat,Rainfed,Alluvial,2024-04-20,SC/ST (Marginal (<2.47 ac
FAR001652,9940597631755,9960392815,Gokul Vihar,29.36,Paddy,Wheat,Rainfed,Loamy,2024-04-20,Large (>12.35 acres)
FAR001653,9846764113657,9999286374,Dakshina Mukhi,37.33,Paddy,Wheat,Canal,Loamy,2024-04-20,Large (>12.35 acres)
FAR001654,3953699083068,9177488750,Subramanya Swamy,4.9,Paddy,Oats,Rainfed,Red,2024-04-20,SC/ST (Small (2.47-4.94 a
FAR001655,2204981250247,9488706853,Venkatesh Pura,0.41,Jowar,Wheat,Borewell,Clay,2024-04-20,Marginal (<2.47 acres)
FAR001656,5082411974200,9562408403,Maruthi Extension,33.21,Jowar,Wheat,Rainfed,Alluvial,2024-04-20,Large (>12.35 acres)
FAR001657,9456939635996,9546469522,Raja Rajeshwari,4.5,Paddy,Wheat,Sprinkler,Clay,2024-04-20,Small (2.47-4.94 acres)
FAR001658,4334597091271,9226458504,RedSoil Hamlet,25.03,Paddy,Wheat,Rainfed,Alluvial,2024-04-21,Large (>12.35 acres)
FAR001659,6710747329423,9529979551,Gokul Vihar,41.81,Paddy,Wheat,Rainfed,Alluvial,2024-04-21,SC/ST (Large (>12.35 acre
FAR001660,1331936886495,9875092893,Bhoga Nandeeshwara,29.4,Paddy,Wheat,Borewell,Loamy,2024-04-21,SC/ST (Large (>12.35 acre
FAR001661,4834844874135,9846651781,Venkatesh Pura,0.7,Paddy,Wheat,Rainfed,Loamy,2024-04-21,Marginal (<2.47 acres)
FAR001662,9899857201021,9930673596,Hanumantha Nagar,0.74,Jowar,Wheat,Drip,Black (Regur),2024-04-21,Marginal (<2.47 acres)
FAR001663,8210955663012,9242716880,Devi Krupa,2.28,Jowar,Wheat,Drip,Red,2024-04-21,Marginal (<2.47 acres)
FAR001664,6804484490985,9575797156,Gokul Vihar,18.3,Jowar,Wheat,Borewell,Loamy,2024-04-21,SC/ST (Large (>12.35 acre
FAR001665,8733982802940,9203574094,Subramanya Swamy,1.86,Paddy,Wheat,Sprinkler,Alluvial,2024-04-21,Marginal (<2.47 acres)
FAR001666,6827775302883,9501712379,Devi Krupa,37.67,Paddy,Wheat,Drip,Red,2024-04-21,Large (>12.35 acres)
FAR001667,9484335987112,9125155526,RedSoil Hamlet,1.08,Jowar,Wheat,Rainfed,Black (Regur),2024-04-21,Marginal (<2.47 acres)
FAR001668,8807335871616,9441323981,Rampur Village,14.11,Paddy,Wheat,Rainfed,Clay,2024-04-21,Large (>12.35 acres)
FAR001669,1036842589860,9119912851,Skanda Giri,2.6,Paddy,Wheat,Drip,Loamy,2024-04-21,Small (2.47-4.94 acres)
FAR001670,7022905753127,9472285947,Lakshmi Puram,0.34,Paddy,Wheat,Drip,Red,2024-04-21,SC/ST (Marginal (<2.47 ac
FAR001671,7578976013887,9205373469,Sundarapuram,2.03,Paddy,Wheat,Sprinkler,Loamy,2024-04-21,Marginal (<2.47 acres)
FAR001672,8904529399665,9404939537,Hanumantha Nagar,1.24,Paddy,Oats,Rainfed,Red,2024-04-21,Marginal (<2.47 acres)
FAR001673,7677387563050,9389179838,Neelkamal,55.15,Paddy,Wheat,Rainfed,Alluvial,2024-04-22,Large (>12.35 acres)
FAR001674,7717855736245,9656095420,Lakshmi Puram,1.98,Jowar,Wheat,Borewell,Loamy,2024-04-22,Marginal (<2.47 acres)
FAR001675,8183602412244,9969690552,Venkatesh Pura,2.45,Paddy,Wheat,Rainfed,Alluvial,2024-04-22,Marginal (<2.47 acres)
FAR001676,7420926200712,9563929749,Pushpagiri,2.44,Paddy,Wheat,Rainfed,Alluvial,2024-04-22,Marginal (<2.47 acres)
FAR001677,5378973792486,9203021784,Nandi Hills,3.8,Jowar,Wheat,Sprinkler,Sandy Loam,2024-04-22,Small (2.47-4.94 acres)
FAR001678,5302849058610,9493351255,Sundarapuram,10.17,Jowar,Wheat,Rainfed,Loamy,2024-04-22,Medium (4.94-12.35 acres)
FAR001679,3524696096742,9158856880,Sundarapuram,0.27,Paddy,Wheat,Rainfed,Loamy,2024-04-22,Marginal (<2.47 acres)
FAR001680,7735893180559,9277279249,Yelachaguppe,0.77,Paddy,Wheat,Drip,Loamy,2024-04-22,Marginal (<2.47 acres)
FAR001681,4016814835106,9356736225,RedSoil Hamlet,4.51,Paddy,Wheat,Rainfed,Alluvial,2024-04-22,Small (2.47-4.94 acres)
FAR001682,5294810582215,9983302460,Keshavpur,0.93,Jowar,Oats,Rainfed,Loamy,2024-04-22,Marginal (<2.47 acres)
FAR001683,5834767311151,9107708753,Yelachaguppe,0.77,Jowar,Wheat,Rainfed,Alluvial,2024-04-22,SC/ST (Marginal (<2.47 ac
FAR001684,8989887622652,9915369923,Neelkamal,0.67,Paddy,Wheat,Borewell,Black (Regur),2024-04-22,SC/ST (Marginal (<2.47 ac
FAR001685,5198481645347,9543645830,Pushpagiri,3.5,Jowar,Wheat,Borewell,Clay,2024-04-22,Small (2.47-4.94 acres)
FAR001686,1005317301702,9951677062,Nandi Hills,2.19,Paddy,Oats,Rainfed,Alluvial,2024-04-22,Marginal (<2.47 acres)
FAR001687,9203216918374,9958019136,Neelkamal,17.63,Paddy,Wheat,Rainfed,Loamy,2024-04-22,Large (>12.35 acres)
FAR001688,7842832247872,9803216499,Pushpagiri,3.21,Paddy,Wheat,Borewell,Clay,2024-04-23,Small (2.47-4.94 acres)
FAR001689,5522749801898,9844059415,Pushpagiri,0.96,Paddy,Wheat,Sprinkler,Loamy,2024-04-23,Marginal (<2.47 acres)
FAR001690,6808712167768,9662178719,Nandi Hills,1.99,Paddy,Wheat,Canal,Red,2024-04-23,Marginal (<2.47 acres)
FAR001691,5950981380562,9867128841,Bhoga Nandeeshwara,1.66,Paddy,Wheat,Rainfed,Loamy,2024-04-23,Marginal (<2.47 acres)
FAR001692,8892629733041,9910275714,Keshavpur,0.41,Paddy,Wheat,Drip,Sandy Loam,2024-04-23,Marginal (<2.47 acres)
FAR001693,4604898584332,9277856619,Lakshmi Puram,4.5,Paddy,Wheat,Rainfed,Clay,2024-04-23,SC/ST (Small (2.47-4.94 a
FAR001694,8154385776867,9159498210,Yelachaguppe,4.83,Paddy,Oats,Rainfed,Clay,2024-04-23,Small (2.47-4.94 acres)
FAR001695,4982187490737,9552146756,Raja Rajeshwari,2.16,Jowar,Wheat,Rainfed,Red,2024-04-23,Marginal (<2.47 acres)
FAR001696,5513724927273,9496152070,Balaji Nagar,2.15,Paddy,Wheat,Borewell,Red,2024-04-23,SC/ST (Marginal (<2.47 ac
FAR001697,8774687219185,9218096893,Uttara Phalguni,1.39,Jowar,Wheat,Borewell,Sandy Loam,2024-04-23,Marginal (<2.47 acres)
FAR001698,9028803346101,9520522379,Gokul Vihar,52.86,Paddy,Wheat,Rainfed,Loamy,2024-04-23,SC/ST (Large (>12.35 acre
FAR001699,8395353589911,9527109654,Uttara Phalguni,3.17,Jowar,Wheat,Flood,Loamy,2024-04-23,Small (2.47-4.94 acres)
FAR001700,2300174116113,9638822488,Subramanya Swamy,1.09,Paddy,Wheat,Rainfed,Loamy,2024-04-23,Marginal (<2.47 acres)
FAR001701,8923942882358,9371158206,Pushpagiri,1.46,Paddy,Wheat,Rainfed,Clay,2024-04-23,Marginal (<2.47 acres)
FAR001702,4395110863662,9905106192,Balaji Nagar,1.78,Paddy,Wheat,Borewell,Clay,2024-04-23,Marginal (<2.47 acres)
FAR001703,5917875395857,9572291661,RedSoil Hamlet,0.94,Paddy,Wheat,Flood,Clay,2024-04-24,Marginal (<2.47 acres)
FAR001704,7643715573244,9913696191,Dakshina Mukhi,44.25,Paddy,Wheat,Canal,Loamy,2024-04-24,SC/ST (Large (>12.35 acre
FAR001705,5287612374832,9217686592,Hanumantha Nagar,1.46,Paddy,Wheat,Rainfed,Black (Regur),2024-04-24,SC/ST (Marginal (<2.47 ac
FAR001706,7237447689890,9110367317,Balaji Nagar,1.09,Jowar,Wheat,Rainfed,Loamy,2024-04-24,SC/ST (Marginal (<2.47 ac
FAR001707,4805821291430,9994911515,Maruthi Extension,0.34,Jowar,Wheat,Borewell,Loamy,2024-04-24,Marginal (<2.47 acres)
FAR001708,9121640303416,9320167382,Shivaji Colony,2.37,Paddy,Wheat,Drip,Alluvial,2024-04-24,SC/ST (Marginal (<2.47 ac
FAR001709,7149257022157,9649083153,Yelachaguppe,6.27,Jowar,Wheat,Drip,Alluvial,2024-04-24,Medium (4.94-12.35 acres)
FAR001710,1237982901724,9645066093,Yelachaguppe,2.35,Paddy,Wheat,Rainfed,Black (Regur),2024-04-24,Marginal (<2.47 acres)
FAR001711,7163997273649,9509483756,Sundarapuram,1.95,Jowar,Wheat,Rainfed,Clay,2024-04-24,Marginal (<2.47 acres)
FAR001712,3824166045131,9979385387,Gokul Vihar,2.43,Paddy,Oats,Rainfed,Black (Regur),2024-04-24,Marginal (<2.47 acres)
FAR001713,7519212855446,9361303871,Rampur Village,1.97,Paddy,Oats,Sprinkler,Alluvial,2024-04-24,SC/ST (Marginal (<2.47 ac
FAR001714,7223713593297,9338149156,Rampur Village,1.64,Paddy,Wheat,Rainfed,Loamy,2024-04-24,Marginal (<2.47 acres)
FAR001715,1767186125879,9941582082,Skanda Giri,0.57,Paddy,Wheat,Sprinkler,Sandy Loam,2024-04-24,Marginal (<2.47 acres)
FAR001716,9168221047416,9678853133,Balaji Nagar,43.26,Paddy,Wheat,Rainfed,Loamy,2024-04-24,Large (>12.35 acres)
FAR001717,7183740994656,9435983590,Subramanya Swamy,3.3,Paddy,Oats,Drip,Alluvial,2024-04-24,Small (2.47-4.94 acres)
FAR001718,5548249413286,9510814864,RedSoil Hamlet,1.66,Jowar,Wheat,Rainfed,Alluvial,2024-04-25,Marginal (<2.47 acres)
FAR001719,1713338043221,9128966853,Maruthi Extension,0.58,Paddy,Wheat,Sprinkler,Alluvial,2024-04-25,Marginal (<2.47 acres)
FAR001720,2578237615595,9506685166,Uttara Phalguni,18.89,Paddy,Wheat,Flood,Alluvial,2024-04-25,Large (>12.35 acres)
FAR001721,3016867260537,9693957970,Nandi Hills,0.78,Paddy,Oats,Rainfed,Red,2024-04-25,SC/ST (Marginal (<2.47 ac
FAR001722,6701109760099,9413181902,Bhoga Nandeeshwara,1.68,Paddy,Oats,Rainfed,Red,2024-04-25,Marginal (<2.47 acres)
FAR001723,4714676762499,9435636134,Dakshina Mukhi,53.07,Paddy,Wheat,Rainfed,Black (Regur),2024-04-25,Large (>12.35 acres)
FAR001724,3408823565411,9236802948,Neelkamal,1.29,Paddy,Wheat,Sprinkler,Alluvial,2024-04-25,SC/ST (Marginal (<2.47 ac
FAR001725,7318243006523,9348074318,Anjaneya Layout,2.74,Paddy,Wheat,Rainfed,Sandy Loam,2024-04-25,Small (2.47-4.94 acres)
FAR001726,3851841311861,9316246892,Subramanya Swamy,4.16,Paddy,Wheat,Rainfed,Loamy,2024-04-25,Small (2.47-4.94 acres)
FAR001727,5156946594822,9408945945,Shivaji Colony,1.78,Paddy,Wheat,Canal,Alluvial,2024-04-25,Marginal (<2.47 acres)
FAR001728,3461423625075,9133786022,Neelkamal,0.37,Paddy,Wheat,Drip,Alluvial,2024-04-25,SC/ST (Marginal (<2.47 ac
FAR001729,8342929191591,9558990252,Rampur Village,3.43,Paddy,Oats,Sprinkler,Loamy,2024-04-25,Small (2.47-4.94 acres)
FAR001730,6247987676392,9485837900,Devi Krupa,0.58,Paddy,Oats,Drip,Alluvial,2024-04-25,SC/ST (Marginal (<2.47 ac
FAR001731,2349973908921,9924960542,RedSoil Hamlet,0.45,Jowar,Wheat,Rainfed,Alluvial,2024-04-25,Marginal (<2.47 acres)
FAR001732,3847974618702,9970859212,Keshavpur,3.67,Paddy,Oats,Sprinkler,Alluvial,2024-04-25,SC/ST (Small (2.47-4.94 a
FAR001733,1626632444492,9386178454,Lakshmi Puram,0.93,Paddy,Wheat,Borewell,Loamy,2024-04-26,SC/ST (Marginal (<2.47 ac
FAR001734,6585402618441,9769951015,Balaji Nagar,4.86,Paddy,Wheat,Drip,Alluvial,2024-04-26,Small (2.47-4.94 acres)
FAR001735,8591884655975,9572363807,Yelachaguppe,1.9,Jowar,Wheat,Rainfed,Alluvial,2024-04-26,Marginal (<2.47 acres)
FAR001736,8130360567671,9434172004,GreenVillage,38.77,Paddy,Oats,Canal,Alluvial,2024-04-26,Large (>12.35 acres)
FAR001737,9428419704049,9654627843,Balaji Nagar,0.62,Paddy,Wheat,Sprinkler,Alluvial,2024-04-26,SC/ST (Marginal (<2.47 ac
FAR001738,6867360629447,9550301520,Hanumantha Nagar,3.39,Paddy,Wheat,Rainfed,Alluvial,2024-04-26,SC/ST (Small (2.47-4.94 a
FAR001739,6936566710970,9671028819,Subramanya Swamy,4.82,Paddy,Oats,Rainfed,Loamy,2024-04-26,Small (2.47-4.94 acres)
FAR001740,8205515312655,9217524653,Uttara Phalguni,14.8,Paddy,Wheat,Drip,Clay,2024-04-26,Large (>12.35 acres)
FAR001741,7007342446167,9984169257,Keshavpur,1.28,Paddy,Wheat,Rainfed,Alluvial,2024-04-26,Marginal (<2.47 acres)
FAR001742,3006660986998,9360754528,Bhoga Nandeeshwara,1.9,Paddy,Wheat,Rainfed,Alluvial,2024-04-26,Marginal (<2.47 acres)
FAR001743,3203298064856,9255508326,Skanda Giri,59.87,Paddy,Wheat,Borewell,Alluvial,2024-04-26,Large (>12.35 acres)
FAR001744,7783858967985,9341768887,Maruthi Extension,1.34,Paddy,Wheat,Rainfed,Red,2024-04-26,Marginal (<2.47 acres)
FAR001745,4197261851053,9543384366,Skanda Giri,2.27,Jowar,Wheat,Flood,Loamy,2024-04-26,Marginal (<2.47 acres)
FAR001746,6666605848872,9515551141,Skanda Giri,29.24,Paddy,Wheat,Flood,Loamy,2024-04-26,Large (>12.35 acres)
FAR001747,3508257976246,9479340305,Yelachaguppe,2.13,Jowar,Oats,Canal,Black (Regur),2024-04-26,Marginal (<2.47 acres)
FAR001748,3593522168000,9576287489,Subramanya Swamy,2.01,Paddy,Wheat,Rainfed,Alluvial,2024-04-27,Marginal (<2.47 acres)
FAR001749,1698334823056,9914636648,Sundarapuram,52.14,Paddy,Oats,Rainfed,Alluvial,2024-04-27,Large (>12.35 acres)
FAR001750,7450231031176,9397309365,Anjaneya Layout,7.92,Paddy,Wheat,Borewell,Clay,2024-04-27,Medium (4.94-12.35 acres)
FAR001751,2225127079548,9414146512,Venkatesh Pura,29.99,Jowar,Oats,Sprinkler,Clay,2024-04-27,Large (>12.35 acres)
FAR001752,3702551998316,9784833623,RedSoil Hamlet,4.32,Jowar,Wheat,Rainfed,Loamy,2024-04-27,SC/ST (Small (2.47-4.94 a
FAR001753,3204612871678,9697428637,Venkatesh Pura,3.19,Paddy,Wheat,Rainfed,Sandy Loam,2024-04-27,Small (2.47-4.94 acres)
FAR001754,3228175639192,9503561687,Hanumantha Nagar,60.15,Jowar,Wheat,Borewell,Clay,2024-04-27,Large (>12.35 acres)
FAR001755,5948545807568,9423868419,Nandi Hills,35.83,Paddy,Wheat,Borewell,Alluvial,2024-04-27,Large (>12.35 acres)
FAR001756,4802655682843,9720596742,Shivaji Colony,24.81,Jowar,Wheat,Borewell,Red,2024-04-27,SC/ST (Large (>12.35 acre
FAR001757,2538768265670,9359178190,Rampur Village,0.52,Jowar,Wheat,Borewell,Clay,2024-04-27,Marginal (<2.47 acres)
FAR001758,5164459507984,9360060728,Subramanya Swamy,0.25,Jowar,Wheat,Drip,Red,2024-04-27,Marginal (<2.47 acres)
FAR001759,5974149421122,9596724509,Sundarapuram,2.42,Paddy,Wheat,Borewell,Alluvial,2024-04-27,Marginal (<2.47 acres)
FAR001760,1545770799660,9683870714,Venkatesh Pura,1.72,Paddy,Wheat,Borewell,Clay,2024-04-27,Marginal (<2.47 acres)
FAR001761,7203859023460,9275277788,Skanda Giri,48.33,Paddy,Oats,Drip,Alluvial,2024-04-27,Large (>12.35 acres)
FAR001762,2388817154197,9859077616,GreenVillage,60.55,Paddy,Wheat,Rainfed,Alluvial,2024-04-27,Large (>12.35 acres)
FAR001763,2457129961414,9428878763,Rampur Village,4.07,Paddy,Oats,Flood,Loamy,2024-04-28,Small (2.47-4.94 acres)
FAR001764,3800175664615,9755073260,Neelkamal,2.24,Paddy,Wheat,Rainfed,Clay,2024-04-28,SC/ST (Marginal (<2.47 ac
FAR001765,8286847362633,9222745076,Subramanya Swamy,0.98,Paddy,Wheat,Rainfed,Alluvial,2024-04-28,Marginal (<2.47 acres)
FAR001766,4286279576129,9472104396,Venkatesh Pura,35.75,Paddy,Wheat,Borewell,Alluvial,2024-04-28,Large (>12.35 acres)
FAR001767,2172540941975,9755712743,Nandi Hills,4.62,Paddy,Wheat,Rainfed,Loamy,2024-04-28,Small (2.47-4.94 acres)
FAR001768,2711215578232,9854808550,Uttara Phalguni,1.97,Paddy,Wheat,Rainfed,Alluvial,2024-04-28,SC/ST (Marginal (<2.47 ac
FAR001769,9972503725631,9763914396,Maruthi Extension,3.53,Jowar,Wheat,Rainfed,Red,2024-04-28,SC/ST (Small (2.47-4.94 a
FAR001770,2028767015569,9902996057,Uttara Phalguni,1.82,Paddy,Wheat,Drip,Clay,2024-04-28,SC/ST (Marginal (<2.47 ac
FAR001771,3250973648181,9921604387,Yelachaguppe,22.81,Jowar,Wheat,Flood,Clay,2024-04-28,Large (>12.35 acres)
FAR001772,5383152567323,9939019618,Neelkamal,0.96,Paddy,Oats,Drip,Loamy,2024-04-28,SC/ST (Marginal (<2.47 ac
FAR001773,4669910198060,9754508400,Ganesha Nagar,33.87,Paddy,Oats,Borewell,Loamy,2024-04-28,SC/ST (Large (>12.35 acre
FAR001774,9475730645568,9142364847,RedSoil Hamlet,38.42,Paddy,Wheat,Drip,Sandy Loam,2024-04-28,Large (>12.35 acres)
FAR001775,5677304265418,9418062482,Lakshmi Puram,0.37,Paddy,Wheat,Canal,Alluvial,2024-04-28,Marginal (<2.47 acres)
FAR001776,4488658592271,9190398977,Sundarapuram,3.22,Paddy,Wheat,Rainfed,Black (Regur),2024-04-28,SC/ST (Small (2.47-4.94 a
FAR001777,4212872866964,9738906868,Keshavpur,20.57,Paddy,Wheat,Borewell,Loamy,2024-04-29,SC/ST (Large (>12.35 acre
FAR001778,9762143674351,9476550029,RedSoil Hamlet,1.62,Jowar,Wheat,Rainfed,Black (Regur),2024-04-29,SC/ST (Marginal (<2.47 ac
FAR001779,3094411045286,9315702223,Subramanya Swamy,50.02,Jowar,Wheat,Rainfed,Red,2024-04-29,Large (>12.35 acres)
FAR001780,7269910275626,9942530416,Rampur Village,4.12,Paddy,Wheat,Rainfed,Red,2024-04-29,SC/ST (Small (2.47-4.94 a
FAR001781,7042953451372,9573472103,Rampur Village,38.48,Paddy,Wheat,Rainfed,Red,2024-04-29,Large (>12.35 acres)
FAR001782,9962254180171,9363840222,Maruthi Extension,1.4,Paddy,Wheat,Sprinkler,Alluvial,2024-04-29,SC/ST (Marginal (<2.47 ac
FAR001783,5793276088654,9612069871,Yelachaguppe,2.04,Paddy,Wheat,Drip,Black (Regur),2024-04-29,SC/ST (Marginal (<2.47 ac
FAR001784,1064145354610,9940501615,Devi Krupa,0.44,Paddy,Wheat,Rainfed,Red,2024-04-29,Marginal (<2.47 acres)
FAR001785,1201155971981,9516870128,Raja Rajeshwari,1.71,Paddy,Wheat,Rainfed,Sandy Loam,2024-04-29,SC/ST (Marginal (<2.47 ac
FAR001786,4169901505272,9632847906,Hanumantha Nagar,0.86,Paddy,Wheat,Borewell,Alluvial,2024-04-29,SC/ST (Marginal (<2.47 ac
FAR001787,3864111025374,9428268757,Yelachaguppe,4.77,Paddy,Wheat,Sprinkler,Sandy Loam,2024-04-29,Small (2.47-4.94 acres)
FAR001788,6412395886331,9795759579,Uttara Phalguni,48.78,Paddy,Wheat,Drip,Black (Regur),2024-04-29,Large (>12.35 acres)
FAR001789,3309580739429,9928158352,Gokul Vihar,1.3,Jowar,Wheat,Rainfed,Alluvial,2024-04-29,Marginal (<2.47 acres)
FAR001790,1376436404685,9383266545,Lakshmi Puram,2.29,Jowar,Wheat,Sprinkler,Alluvial,2024-04-29,SC/ST (Marginal (<2.47 ac
FAR001791,4663128636878,9252396063,Maruthi Extension,1.48,Paddy,Wheat,Flood,Loamy,2024-04-29,Marginal (<2.47 acres)
